block,trialNum,trial_type,dis_PresentorAbsent,corrResp,subResp,trialCorr?,RT,"stim_loc(T,D)",ITI,"Tar,Dis,Other",trial_trigs,triggers
1,20,dis,Present,lshift,lshift,1,0.7987456006037519,"('1', '7')",1.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,21,neut,Absent,lshift,lshift,1,0.8820504627726677,"('3', 'noDis')",2.2,"('green_circle', 'noDis', 'green_diamond')",None,
1,22,neut,Absent,lshift,lshift,1,0.6321535203671829,"('1', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
1,23,dis,Present,rshift,lshift,0,1.2820034332212344,"('5', '9')",1.9,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,24,neut,Absent,rshift,lshift,0,1.3319904567863432,"('9', 'noDis')",1.7,"('green_diamond', 'noDis', 'green_circle')",None,
1,25,neut,Absent,lshift,lshift,1,1.6818835816500268,"('11', 'noDis')",2.4,"('green_diamond', 'noDis', 'green_circle')",None,
1,26,dis,Present,rshift,lshift,0,1.1820290652892709,"('1', '3')",1.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,27,dis,Present,lshift,lshift,1,1.032096866760412,"('1', '3')",2.0,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,28,neut,Present,lshift,lshift,1,0.8489591102752456,"('11', '5')",2.6,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,29,neut,Absent,lshift,lshift,1,0.765535872223154,"('7', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
1,30,neut,Present,lshift,lshift,1,1.2825622700452186,"('3', '5')",2.1,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,31,neut,Absent,lshift,lshift,1,0.9488285760021427,"('1', 'noDis')",1.8,"('green_circle', 'noDis', 'green_diamond')",None,
1,32,neut,Absent,lshift,lshift,1,0.6488339333932345,"('7', 'noDis')",2.4,"('green_circle', 'noDis', 'green_diamond')",None,
1,33,neut,Absent,rshift,lshift,0,1.2820294181715326,"('11', 'noDis')",2.5,"('green_circle', 'noDis', 'green_diamond')",None,
1,34,neut,Absent,rshift,lshift,0,1.4486439545371468,"('3', 'noDis')",1.5,"('green_diamond', 'noDis', 'green_circle')",None,
1,35,neut,Present,rshift,lshift,0,1.8484506393419906,"('1', '11')",1.6,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,36,dis,Present,lshift,lshift,1,1.298676467804853,"('3', '11')",1.4,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,37,neut,Absent,rshift,lshift,0,1.8651804558530785,"('1', 'noDis')",1.6,"('green_diamond', 'noDis', 'green_circle')",None,
1,38,neut,Absent,lshift,lshift,1,0.9820768006047729,"('9', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
1,39,dis,Present,lshift,lshift,1,1.0154623283988258,"('3', '1')",2.6,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,40,neut,Absent,rshift,lshift,0,1.1154306010957953,"('5', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
1,41,neut,Absent,lshift,lshift,1,1.2320436778136354,"('9', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
1,42,neut,Absent,lshift,lshift,1,1.2493291231298826,"('3', 'noDis')",2.0,"('green_circle', 'noDis', 'green_diamond')",None,
1,43,neut,Absent,rshift,lshift,0,0.7322173920156274,"('5', 'noDis')",2.6,"('green_circle', 'noDis', 'green_diamond')",None,
1,44,neut,Present,lshift,lshift,1,1.2819710322341962,"('1', '11')",1.8,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,45,neut,Absent,rshift,lshift,0,1.2326702038280928,"('3', 'noDis')",2.1,"('green_diamond', 'noDis', 'green_circle')",None,
1,46,neut,Absent,rshift,lshift,0,0.6989139894949403,"('1', 'noDis')",2.0,"('green_diamond', 'noDis', 'green_circle')",None,
1,47,neut,Present,rshift,lshift,0,1.0486980417294944,"('11', '1')",2.3,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,48,neut,Absent,rshift,lshift,0,1.2320382241819061,"('9', 'noDis')",1.9,"('green_diamond', 'noDis', 'green_circle')",None,
1,49,neut,Present,lshift,lshift,1,1.1986796437431622,"('9', '7')",2.5,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,50,neut,Present,rshift,lshift,0,1.3985995074408493,"('1', '3')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,51,neut,Absent,lshift,lshift,1,0.9487733980840858,"('5', 'noDis')",2.4,"('green_diamond', 'noDis', 'green_circle')",None,
1,52,dis,Present,rshift,lshift,0,0.8654524958224101,"('1', '5')",1.4,"('green_diamond', 'blue_circle', 'green_circle')",None,
1,53,neut,Absent,rshift,lshift,0,0.9488253679837726,"('3', 'noDis')",1.5,"('green_diamond', 'noDis', 'green_circle')",None,
1,54,neut,Absent,rshift,None,nan,nan,"('3', 'noDis')",1.4,"('green_circle', 'noDis', 'green_diamond')",None,
1,55,neut,Present,lshift,lshift,1,0.9820379835805397,"('1', '7')",1.7,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,56,dis,Present,lshift,lshift,1,0.9821104847992501,"('1', '3')",2.6,"('green_circle', 'blue_diamond', 'green_diamond')",None,
1,57,neut,Absent,lshift,lshift,1,1.36534679161241,"('1', 'noDis')",1.6,"('green_circle', 'noDis', 'green_diamond')",None,
1,58,neut,Absent,lshift,lshift,1,1.2823328967219823,"('7', 'noDis')",2.2,"('green_diamond', 'noDis', 'green_circle')",None,
1,59,neut,Absent,lshift,lshift,1,0.7654665790237232,"('5', 'noDis')",1.4,"('green_diamond', 'noDis', 'green_circle')",None,
1,60,neut,Absent,lshift,lshift,1,1.3653416587831089,"('5', 'noDis')",1.6,"('green_circle', 'noDis', 'green_diamond')",None,
